Case ID,Type,Latitude,Longitude,Municipality,Stage Status,Task Order Date,Subcontractor NTP
PR-R3-22745,Reconstruction,18.031,-66.65839,Ponce,03 - Design & Permitting,2025-12-10,
PR-SFM-02947,Relocation,18.44391,-66.22159,Toa Baja,03 - Design & Permitting,2025-12-16,
PR-SFM-00499,Relocation,18.43898,-66.37436,Vega Baja,03 - Design & Permitting,2025-12-16,
PR-SFM-01620,Relocation,18.42867,-66.27513,Dorado,03 - Design & Permitting,2025-12-16,
PR-SFM-02429,Relocation,18.41027,-66.82373,Camuy,04 - Construction - Started,2025-12-10,
PR-R3-06317,Relocation,18.30452,-66.41509,Morovis,03 - Design & Permitting,2025-12-16,
PR-SFM-01934,Relocation,18.19104,-65.95968,San Lorenzo,03 - Design & Permitting,2026-01-14,
PR-SFM-01303,Relocation,18.0336,-66.84625,Yauco,03 - Design & Permitting,2025-12-10,
PR-R3-13268,Reconstruction,18.03064,-66.49308,Juana Díaz,03 - Design & Permitting,2026-01-13,
PR-SFM-03648,Reconstruction,18.41479,-66.63769,Arecibo,03 - Design & Permitting,2026-02-06,
PR-SFM-04034,Reconstruction,18.04979,-66.5282,Juana Díaz,03 - Design & Permitting,2025-12-31,
PR-SFM-04534,Reconstruction,18.04015,-66.46816,Juana Díaz,03 - Design & Permitting,2026-01-23,
PR-SFM-04656,Reconstruction,18.03866,-66.46394,Juana Díaz,03 - Design & Permitting,2026-01-27,
PR-SFM-04749,Reconstruction,18.03148,-66.5377,Juana Díaz,03 - Design & Permitting,2026-02-02,
PR-SFM-04782,Reconstruction,18.02678,-66.53794,Juana Díaz,03 - Design & Permitting,2026-01-23,
PR-SFM-05038,Reconstruction,18.02603,-66.53397,Juana Díaz,03 - Design & Permitting,2026-01-23,
PR-SFM-05116,Reconstruction,18.02957,-66.51555,Juana Díaz,03 - Design & Permitting,2026-02-19,
PR-SFM-05438,Reconstruction,18.02942,-66.53966,Juana Díaz,03 - Design & Permitting,2026-02-05,
PR-SFM-04694,Reconstruction,18.05845,-66.45724,Juana Díaz,03 - Design & Permitting,2026-01-20,
PR-SFM-05399,Reconstruction,18.05707,-66.45496,Juana Díaz,03 - Design & Permitting,2026-01-27,
PR-SFM-04500,Reconstruction,18.05681,-66.45376,Juana Díaz,03 - Design & Permitting,2026-02-09,
PR-SFM-04287,Reconstruction,18.28611,-66.53934,Ciales,03 - Design & Permitting,2026-02-16,
PR-SFM-05843,Reconstruction,18.46263,-66.74816,Arecibo,03 - Design & Permitting,2026-02-16,
